site_url,img_url,alt_text_gerado,alt_text_original,tag_completa
https://www.setdig.ms.gov.br/,https://www.setdig.ms.gov.br/wp-content/themes/fokma-3/assets/img/noticias.png,Imagem ilustrativa de um conjunto de notícias representado por várias folhas de jornal sobrepostas.,,"<img src=""https://www.setdig.ms.gov.br/wp-content/themes/fokma-3/assets/img/noticias.png"" width=""35px""> Notícias</img>"
https://www.setdig.ms.gov.br/,https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues.jpeg,Uma foto aérea mostrando a diversidade de cores e formas das plantações em uma zona rural.,,"<img alt="""" class=""attachment- size- wp-post-image"" decoding=""async"" fetchpriority=""high"" height=""1092"" sizes=""(max-width: 1600px) 100vw, 1600px"" src=""https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues.jpeg"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues.jpeg 1600w, https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues-300x205.jpeg 300w, https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues-1024x699.jpeg 1024w, https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues-768x524.jpeg 768w, https://www.setdig.ms.gov.br/wp-content/uploads/2024/07/COR-da-INFOVIA_Edemir-Rodrigues-1536x1048.jpeg 1536w"" style=""opacity:0; max-height:410px; min-height:410px"" width=""1600""/>"
https://www.setdig.ms.gov.br/,https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/capa-post.png,"Banner com fundo azul destacando o título ""SEAE e CRC/MS promovem evento sobre Auditoria"" com informações sobre data e horário, além dos logotipos das entidades envolvidas.",,"<img alt="""" class=""attachment- size- wp-post-image"" decoding=""async"" height=""342"" sizes=""(max-width: 636px) 100vw, 636px"" src=""https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/capa-post.png"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/capa-post.png 636w, https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/capa-post-300x161.png 300w"" style=""opacity:0; max-height:410px; min-height:410px"" width=""636""/>"
https://www.setdig.ms.gov.br/,https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/destaque.png,Uma ilustração abstrata com uma paleta de cores vibrantes e formas geométricas sobrepostas em composição dinâmica.,,"<img alt="""" class=""attachment- size- wp-post-image"" decoding=""async"" height=""343"" sizes=""(max-width: 637px) 100vw, 637px"" src=""https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/destaque.png"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/destaque.png 637w, https://www.setdig.ms.gov.br/wp-content/uploads/2022/06/destaque-300x162.png 300w"" style=""opacity:0; max-height:410px; min-height:410px"" width=""637""/>"
https://www.setdig.ms.gov.br/,http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/ABERTURA-1.png,"Uma emblemática imagem noturna de um edifício empresarial iluminado por luzes coloridas, destacando-se no céu escuro.",,"<img alt="""" class=""wp-image-4747"" decoding=""async"" height=""400"" sizes=""(max-width: 626px) 100vw, 626px"" src=""http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/ABERTURA-1.png"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/ABERTURA-1.png 626w, https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/ABERTURA-1-300x192.png 300w"" width=""626""/>"
https://www.setdig.ms.gov.br/,http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento.png,"Imagem ilustrativa de um escritório de atendimento ao público, com uma recepcionista atendendo um cliente.",,"<img alt="""" class=""wp-image-4748"" decoding=""async"" height=""398"" sizes=""(max-width: 626px) 100vw, 626px"" src=""http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento.png"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento.png 626w, https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento-300x191.png 300w"" width=""626""/>"
https://www.setdig.ms.gov.br/,http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento-whatsapp.png,"Imagem representando um atendimento via WhatsApp, com uma pessoa utilizando o aplicativo em um smartphone para se comunicar com um cliente.",,"<img alt="""" class=""wp-image-4749"" decoding=""async"" height=""398"" sizes=""(max-width: 626px) 100vw, 626px"" src=""http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento-whatsapp.png"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento-whatsapp.png 626w, https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Atendimento-whatsapp-300x191.png 300w"" width=""626""/>"
https://www.setdig.ms.gov.br/,http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Webmail.png,Interface de e-mail mostrando a caixa de entrada de uma conta de webmail.,,"<img alt="""" class=""wp-image-4750"" decoding=""async"" height=""398"" sizes=""(max-width: 626px) 100vw, 626px"" src=""http://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Webmail.png"" srcset=""https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Webmail.png 626w, https://www.setdig.ms.gov.br/wp-content/uploads/2023/10/Webmail-300x191.png 300w"" width=""626""/>"
https://www.setdig.ms.gov.br/,https://www.setdig.ms.gov.br/wp-content/uploads/2024/08/icone-email.png,Ícone de e-mail.,,"<img alt="""" class=""wp-image-4967"" decoding=""async"" height=""50"" src=""https://www.setdig.ms.gov.br/wp-content/uploads/2024/08/icone-email.png"" style=""width: 50px;"" width=""50""/>"
https://www.setdig.ms.gov.br/,https://www.setdig.ms.gov.br/wp-content/uploads/2024/08/icone-wordpress.png,Ícone do WordPress.,,"<img alt="""" class=""wp-image-4968"" decoding=""async"" height=""50"" src=""https://www.setdig.ms.gov.br/wp-content/uploads/2024/08/icone-wordpress.png"" style=""width: 50px;"" width=""50""/>"
